Date,Open,High,Low,Close,Adj Close,Volume
2007-12-03,87.099998,88.180000,86.739998,87.839996,55.090668,7934200
2007-12-04,87.139999,87.779999,86.830002,87.160004,54.664188,6584600
2007-12-05,87.790001,89.720001,87.790001,89.300003,56.006321,10450000
2007-12-06,89.269997,91.699997,88.860001,91.379997,57.310833,9627700
2007-12-07,90.690002,91.589996,90.339996,90.959999,57.047440,6682700
2007-12-10,91.230003,92.010002,90.750000,91.720001,57.524086,5505300
2007-12-11,91.680000,92.589996,89.809998,89.889999,56.376350,8014900
2007-12-12,91.910004,92.970001,90.930000,91.779999,57.561695,10816100
2007-12-13,91.510002,93.209999,91.129997,93.080002,58.377018,8527400
2007-12-14,92.500000,92.959999,91.910004,92.019997,57.712227,11090600
2007-12-17,91.699997,91.760002,89.580002,89.980003,56.432816,8210000
2007-12-18,90.599998,91.629997,89.610001,91.190002,57.191681,8744300
2007-12-19,91.389999,92.120003,90.320000,90.900002,57.009796,8325200
2007-12-20,90.930000,92.519997,90.900002,92.050003,57.731056,6188100
2007-12-21,92.300003,94.680000,92.260002,94.040001,58.979118,13596000
2007-12-24,93.629997,94.790001,93.629997,94.480003,59.255089,2917500
2007-12-26,94.309998,95.199997,94.309998,94.839996,59.480858,7477600
2007-12-27,95.080002,95.080002,93.650002,93.750000,58.797207,8155100
2007-12-28,94.010002,94.930000,93.300003,94.860001,59.493389,7895000
2007-12-31,94.370003,94.580002,93.010002,93.330002,58.533806,5086600
2008-01-02,93.959999,94.690002,92.709999,93.459999,58.615353,9058000
2008-01-03,93.800003,94.839996,93.459999,94.610001,59.336613,10479200
2008-01-04,93.879997,95.209999,93.199997,93.349998,58.546349,13103800
2008-01-07,93.739998,93.739998,91.150002,92.129997,57.781216,12892200
2008-01-08,92.410004,93.379997,90.580002,90.949997,57.041161,10987700
2008-01-09,90.879997,92.750000,90.550003,92.570000,58.057171,12448200
2008-01-10,91.599998,92.099998,90.139999,91.900002,57.636974,13786500
2008-01-11,91.599998,92.570000,90.230003,90.669998,56.865543,10575000
2008-01-14,91.220001,91.849998,90.410004,90.910004,57.016083,9968600
2008-01-15,89.959999,90.050003,88.150002,88.269997,55.360336,13693400
2008-01-16,87.690002,88.379997,85.209999,86.250000,54.093464,15709400
2008-01-17,86.500000,87.169998,82.099998,82.750000,51.898354,18910400
2008-01-18,82.750000,84.980003,80.879997,83.459999,52.343647,18869200
2008-01-22,78.230003,82.370003,76.839996,81.250000,50.957615,20897900
2008-01-23,78.760002,81.480003,76.400002,81.449997,51.083019,20405300
2008-01-24,81.849998,83.690002,81.139999,83.669998,52.475353,13949600
2008-01-25,84.680000,85.000000,81.440002,81.820000,51.315105,14050100
2008-01-28,81.129997,83.260002,80.230003,82.860001,51.967354,9749400
2008-01-29,83.209999,83.720001,81.900002,82.599998,51.804287,9187700
2008-01-30,82.110001,85.230003,81.930000,83.230003,52.199402,9415400
2008-01-31,82.099998,84.500000,81.239998,83.250000,52.211960,12634300
2008-02-01,84.709999,84.930000,81.529999,82.489998,51.735291,16063300
2008-02-04,82.510002,82.980003,81.010002,82.019997,51.440540,10299100
2008-02-05,80.730003,80.989998,79.610001,79.739998,50.010578,15682500
2008-02-06,80.129997,80.550003,77.239998,77.510002,48.611996,15108200
2008-02-07,77.110001,79.239998,76.510002,78.739998,49.383404,12570900
2008-02-08,79.290001,79.480003,78.389999,79.260002,49.709518,8281700
2008-02-11,80.220001,80.470001,78.510002,80.430000,50.443317,17626800
2008-02-12,80.839996,82.330002,80.410004,81.120003,50.876076,12330400
2008-02-13,80.919998,82.290001,80.290001,82.120003,51.874142,12149400
2008-02-14,82.980003,83.580002,82.599998,82.839996,52.328949,11190400
2008-02-15,82.519997,83.690002,81.699997,83.599998,52.809044,26988700
2008-02-19,84.389999,85.489998,84.250000,84.830002,53.586014,12002500
2008-02-20,83.989998,86.860001,83.699997,86.339996,54.539841,13217100
2008-02-21,85.570000,86.510002,84.330002,84.779999,53.554409,12189400
2008-02-22,85.269997,85.739998,83.690002,85.419998,53.958702,12154700
2008-02-25,85.540001,87.589996,85.309998,87.180000,55.070473,11813500
2008-02-26,86.750000,88.400002,86.290001,88.120003,55.664246,12672600
2008-02-27,87.430000,88.940002,87.430000,88.220001,55.727432,9731900
2008-02-28,88.220001,89.290001,87.769997,89.019997,56.232788,8990300
2008-02-29,88.470001,88.599998,85.980003,86.660004,54.742001,12983700
2008-03-03,86.379997,87.919998,85.839996,87.199997,55.083118,9859700
2008-03-04,86.660004,87.699997,85.059998,86.730003,54.786213,13698300
2008-03-05,87.029999,88.860001,86.669998,88.790001,56.087502,16220500
2008-03-06,88.529999,89.000000,87.180000,87.800003,55.462132,14296500
2008-03-07,87.230003,87.489998,84.650002,85.260002,53.857632,15910600
