Date,Open,High,Low,Close,Adj Close,Volume
2008-03-05,643.919983,666.400024,642.640015,666.400024,666.400024,946100
2008-03-06,662.320007,671.119995,653.039978,671.119995,671.119995,712700
2008-03-07,666.479980,676.239990,660.239990,669.840027,669.840027,673200
2008-03-10,664.559998,685.039978,660.239990,685.039978,685.039978,767500
2008-03-11,684.000000,690.719971,674.320007,690.719971,690.719971,1223800
2008-03-12,688.080017,696.080017,678.000000,695.359985,695.359985,1155800
2008-03-13,696.159973,702.320007,687.840027,697.679993,697.679993,962200
2008-03-14,695.919983,702.080017,688.479980,692.080017,692.080017,1072600
2008-03-17,671.359985,686.799988,651.840027,666.400024,666.400024,1455100
2008-03-18,678.239990,696.320007,673.520020,686.400024,686.400024,1083500
2008-03-19,676.559998,688.000000,654.479980,658.320007,658.320007,1368800
2008-03-20,637.599976,655.679993,636.719971,650.400024,650.400024,1468500
2008-03-24,647.679993,656.159973,640.640015,642.080017,642.080017,531500
2008-03-25,646.000000,652.960022,635.200012,651.760010,651.760010,592600
2008-03-26,656.239990,681.840027,655.840027,678.479980,678.479980,770800
2008-03-27,680.559998,693.119995,677.119995,685.840027,685.840027,590100
2008-03-28,680.080017,680.080017,670.960022,674.960022,674.960022,612300
2008-03-31,677.760010,684.000000,642.880005,650.880005,650.880005,975500
2008-04-01,640.000000,656.719971,638.159973,648.479980,648.479980,671000
2008-04-02,646.400024,672.799988,639.679993,670.239990,670.239990,772800
2008-04-03,663.200012,681.599976,661.119995,669.200012,669.200012,676400
2008-04-04,675.520020,680.960022,670.799988,679.039978,679.039978,553100
2008-04-07,691.919983,701.039978,691.919983,695.440002,695.440002,533800
2008-04-08,696.000000,700.640015,689.599976,697.520020,697.520020,441000
2008-04-09,696.719971,717.599976,695.520020,711.200012,711.200012,1025400
2008-04-10,712.640015,712.719971,697.119995,705.440002,705.440002,802500
2008-04-11,701.200012,708.559998,698.960022,707.840027,707.840027,478900
2008-04-14,710.799988,717.679993,707.599976,717.119995,717.119995,539700
2008-04-15,728.080017,731.520020,725.359985,731.520020,731.520020,634400
2008-04-16,729.760010,738.400024,720.159973,737.200012,737.200012,986800
2008-04-17,737.359985,740.880005,732.960022,738.960022,738.960022,596600
2008-04-18,727.840027,750.719971,727.200012,750.320007,750.320007,1150300
2008-04-21,747.760010,755.039978,741.520020,755.039978,755.039978,585200
2008-04-22,749.440002,766.640015,748.799988,760.640015,760.640015,894900
